text,is_quote_status,retweet_count,favorite_count,favorited,retweeted,username
The #BananaSplitMask just did the splits. @KyleRichards is that you??? 🤔#TheMaskedSinger #ad,False,5,91,False,False,lisarinna
If you were on #TheMaskedSinger what costume would you be?,False,5,61,False,False,lisarinna
I want one of those Kennon’s @kenjeong #TheMaskedSinger #ad,False,4,36,False,False,lisarinna
@kfieldsky I think that’s a good guess!,False,0,1,False,False,lisarinna
@kimmymac14 ❤️,False,0,0,False,False,lisarinna
Ok #QueenOfHeartsMask that performance gave me chills wow  #themaskedsinger #ad,False,7,41,False,False,lisarinna
#QueenOfHeartsMask has fantastic lips if I say so myself 💋#themaskedsinger #ad,False,7,65,False,False,lisarinna
Hmm #BananaSplitMask is very familiar to me…  #themaskedsinger #ad,False,6,52,False,False,lisarinna
@KillAlexouille Hi!,False,1,1,False,False,lisarinna
Well isn’t #BananaSplitMask just the cutest ever! Great eyelashes. I wonder what mascara she uses 🧐 #TheMaskedSinger #ad,False,1,15,False,False,lisarinna
Ok so Bull Mask will go against whoever wins tonight. BUT WHO WILL WIN TONIGHT?!  #themaskedsinger #ad,False,10,38,False,False,lisarinna
@turtlenauntfan1 @MaskedSingerFOX 👏🏼👏🏼👏🏼,False,0,2,False,False,lisarinna
An all new episode of @maskedsingerfox is about to start! Who else is watching? #TheMaskedSinger #ad https://t.co/BWRhork5PB,False,11,85,False,False,lisarinna
Ok I’m definitely tuning in to watch @NicoleScherzy and @robinthicke perform tonight! #TheMaskedSinger https://t.co/lhuTVqNMGv,True,17,94,False,False,lisarinna
RT @AwardShowNews: .@lisarinna at the 47th Annual People's Choice Awards.#pcas https://t.co/aDUiweOnp6,False,8,0,False,False,lisarinna
A little Glam Bot in full @YSL at the @peopleschoice awards 🦋 https://t.co/8oI91dYvPa,False,30,792,False,False,lisarinna
"RT @LiveKellyRyan: Harry Hamlin talks about how he reacted when his wife @lisarinna joined the #RealHousewives, and how he uses his psychol…",False,13,0,False,False,lisarinna
@APabloIsForever 💋,False,0,4,False,False,lisarinna
Thank you @JillianDempsey for your continued support of the @rinnabeauty brand! 💋 https://t.co/e3vaYzuYrk,True,3,73,False,False,lisarinna
RT @lucyj_ford: this is one of the most gorgeous outlooks on grief i have ever heard  https://t.co/UwWlPMQo4r,False,61818,0,False,False,lisarinna
❤️❤️❤️ https://t.co/XfuEDLAtQP,True,11,295,False,False,lisarinna
We Love Lois. 💋♥️💄😇🕊 https://t.co/7GsJZN4omX,False,96,6869,False,False,lisarinna
❤️ https://t.co/yk0bEZw3LL,True,69,3728,False,False,lisarinna
"Lois DeAndrade Rinna June 7, 1928 - November 15, 2021 Heaven Has a New Angel. 🦋😇🙏🏼💗 https://t.co/GIidL0DYuj",False,547,22818,False,False,lisarinna
@marrobison Hope you love it! 💋,False,0,4,False,False,lisarinna
🍿🍷#RHOBHReunion #RHOBH https://t.co/3aoKxOKxLa,False,30,1064,False,False,lisarinna
RT @BravoTV: We've got a feeling this reunion is going to be Hunky Dory! Catch the #RHOBH Reunion tonight 8/7c 💎 https://t.co/KoAMzKkOpA,False,27,0,False,False,lisarinna
Oh just a little @alexandermcqueen &amp; @balenciaga boot moment in the fake snow in LA. #celebratebig @neimanmarcus 💋 https://t.co/rThonGctsD,False,15,790,False,False,lisarinna
This weekend only! 50% off all lip kits! Visit https://t.co/Arijg3guB7 to get yours now. 💋💄 https://t.co/BKnR3BcPBK,False,9,215,False,False,lisarinna
RT @BravoTV: A 4-part reunion calls for a FASHION FLEX! Don't miss pt 2 of the #RHOBH Reunion tonight 8/7c! https://t.co/HjBKI9f1jk,False,18,0,False,False,lisarinna
RT @rinnabeauty: Did you hear? #RinnaBeauty is inside this month’s @IPSY Glam Bag Plus. The lip queen herself @lisarinna  shows us how she…,False,8,0,False,False,lisarinna
Do you have your own Kiki Lip kit yet? Shop now on https://t.co/Vbtzu08o2k 💋#rinnabeauty https://t.co/7UhfeLIbTm,True,4,73,False,False,lisarinna
"RT @rinnabeauty: Luscious lips, made for an icon. Don’t miss your chance to get a FREE #RinnaBeauty Icon Collection Pink Champagne Lip Glos…",False,2,0,False,False,lisarinna
Who's ready? 🍿🍾 #RHOBH,False,54,2214,False,False,lisarinna
Meet Pricilla 💜I asked the cast to name her &amp; @GarcelleB came up with her name. Reunion Part 1 Tonight. 💎 #rhobh https://t.co/cur3KwYyMh,False,44,1124,False,False,lisarinna
💕 https://t.co/TDps4wMAHx,True,4,94,False,False,lisarinna
Rolling into Monday like…. The Kiki Lip Kit from @Rinnabeauty#rinnabeauty https://t.co/RPF15hORtT,False,10,291,False,False,lisarinna
My ♥️ https://t.co/05ptIQEywU,False,38,4159,False,False,lisarinna
@ponchyoface 😘,False,1,5,False,False,lisarinna
"RT @BravoTV: The FOUR-PART #RHOBH Reunion trailer has arrived and we. are. SHOOK! 💎 Catch Part 1 of the Reunion next Wednesday, Oct 13 8/7c…",False,825,0,False,False,lisarinna
So excited to have @rinnabeauty be featured in this months @IPSY Glam Bag! #rinnabeauty https://t.co/wN1v9hDw9X,True,11,229,False,False,lisarinna
It's almost time! 🍿#RHOBH #finale https://t.co/zlcLPi65CS,False,17,400,False,False,lisarinna
UMA.TOMORROW.SEASON FINALE. 🔥#RHOBH 💎 https://t.co/mhCOHENvni,False,27,1377,False,False,lisarinna
Love! 💋 https://t.co/Og5yKu8sxN,True,2,90,False,False,lisarinna
@meganmarshalltv @BrookeBrighton @kevschwa Hi Megan 😉,False,0,7,False,False,lisarinna
@JeffGrizzly Ohhhhh...Which shade?,False,0,2,False,False,lisarinna
@BrookeBrighton @kevschwa HURRY!!! 🙌🏻,False,1,6,False,False,lisarinna
@NikkiLPhelps What kind???,False,1,11,False,False,lisarinna
Ohhhh hey...It's #Wednesday! Who's watching #RHOBH with me?? 🙌🏻🍿🍷,False,20,1086,False,False,lisarinna
@larryca66028461 Who knows Larry.... 🤷‍♀️,False,1,11,False,False,lisarinna
@TheyKnowRo 😉,False,1,17,False,False,lisarinna
@KTrasatt Always!,False,0,4,False,False,lisarinna
@GlendaHewitt8 💋,False,0,1,False,False,lisarinna
🙋‍♀️ It's almost showtime! 🍿🍾#RHOBH,False,24,857,False,False,lisarinna
Happy Birthday @SuttonBStracke 💋 https://t.co/en4xVHzYQh,False,13,913,False,False,lisarinna
How Heidi does Monday 💋 Get it now at https://t.co/Vbtzu08o2k.  #RinnaBeauty https://t.co/KQdnkV29e4,False,8,269,False,False,lisarinna
@AllDayAllDrake Thank you! 😘,False,1,22,False,False,lisarinna
Noted. 😉 https://t.co/KnINA0Wy9x,True,1,105,False,False,lisarinna
Exactly! 🙌🏻 https://t.co/4vi876Feaf,True,2,53,False,False,lisarinna
♥️ https://t.co/1shaJiL52h,True,20,807,False,False,lisarinna
SO! EXCITED! Follow along as I go #LiveFromE for the #Emmys TONIGHT starting at 4:30p ET/1:30p PT only on… https://t.co/tDfqe4FJ8O,False,13,199,False,False,lisarinna
@AlisonClaireCHS He sure is! 🥰,False,0,5,False,False,lisarinna
@Tommy_gnz 😘,False,0,1,False,False,lisarinna
Who's getting that 🍿&amp;🍷ready?#rhobh,False,29,1274,False,False,lisarinna
"After the show tonight, tune in to @BravoWWHL to watch me join @Andy &amp; @MsSarahPaulson on set!#WWHL https://t.co/AHtUKengxw",False,7,313,False,False,lisarinna
@HerrinJodi 😉🍝,False,0,3,False,False,lisarinna
@KMGaither You know it! 😉,False,1,18,False,False,lisarinna
@jerrwinnn Thank you! 💋,False,1,11,False,False,lisarinna
@JoeAgase It's so important to be on time!! ♥️,False,1,56,False,False,lisarinna
@StephTilli 💋,False,0,1,False,False,lisarinna
It really is everything! 🙌🏻 https://t.co/5f5i3qs4w2,True,140,2513,False,False,lisarinna
@KrysLannister Yaaasss!,False,0,0,False,False,lisarinna
Ohhhhhh it's almost time people!! 🍿&amp; 🍸 Who's watching #rhobh with me tonight?,False,31,1565,False,False,lisarinna
Well hello Salem... Who's joining me on this adventure? @NBCDays @peacockTV #DOOLBeyondSalem https://t.co/gNXEmwib5f,False,58,1038,False,False,lisarinna
I can’t wait to answer all your questions during our Live Q&amp;A about @NBCDays Beyond Salem. It’s only open to… https://t.co/zWMleFPKn2,False,17,214,False,False,lisarinna
𝑀𝑜𝑚?𝐵𝑖𝑙𝑙𝑖𝑒 𝑅𝑒𝑒𝑑? Here is a sneak peek at a clip from @peacocktv’s #DOOLBeyondSalem https://t.co/oZdsxQp5G1,False,31,343,False,False,lisarinna
@PippaKristin 😘,False,0,2,False,False,lisarinna
@steven______fr 😘,False,0,9,False,False,lisarinna
@ecpoom 💋💋💋,False,1,12,False,False,lisarinna
@JennJennFeliz 😉🍸,False,0,6,False,False,lisarinna
@ItsMe_EricC 😉,False,0,5,False,False,lisarinna
@QueenBeee88 Always! 🙌🏼,False,0,5,False,False,lisarinna
@MarTEAnisEddy 🍾,False,0,2,False,False,lisarinna
@DameReality 🤷‍♀️,False,1,51,False,False,lisarinna
@s_rewritten Let's go! 🍷,False,0,11,False,False,lisarinna
@laughfunnyhaha Me! 🙌🏼,False,1,18,False,False,lisarinna
@moangel98 🙌🏼🍿🍷,False,1,2,False,False,lisarinna
@RebelTweeter280 💋,False,0,2,False,False,lisarinna
@RiceAssenza @erikajayne Stay safe!! 💋,False,0,10,False,False,lisarinna
@RadziwillLee Hey! Glad you are still watching!,False,0,90,False,False,lisarinna
It's #Wednesday Night! Who's watching #rhobh with me?? 🍿🍾💋,False,26,1454,False,False,lisarinna
RT @rinnabeauty: The moment you’ve all been waiting for… Our #RinnaBeauty Birthday Suit Lip Kit is BACK IN STOCK! 🎉 Shop it now! https://t.…,False,6,0,False,False,lisarinna
@Red27946769 You can at https://t.co/gNYVsk3ahH!,False,0,3,False,False,lisarinna
@emilybhuff You can order them directly from  https://t.co/gNYVsk3ahH! 💋💄,False,0,2,False,False,lisarinna
@amyhuwalt Nice choice!,False,0,0,False,False,lisarinna
@emilybhuff Yaaaayyyy!!,False,0,1,False,False,lisarinna
@graceinspaaace @ckminkoff @rinnabeauty It's amazing!,False,0,3,False,False,lisarinna
@Bran_Lynn 😘,False,1,6,False,False,lisarinna
@Bran_Lynn @ckminkoff She did!! 💋,False,0,1,False,False,lisarinna
@jennifernfla 😘,False,0,3,False,False,lisarinna
@LalaWithTheDrip 😘💋💄,False,1,9,False,False,lisarinna
Thank you @ckminkoff again for throwing such an amazing launch party for @rinnabeauty ! 💋💄,False,9,535,False,False,lisarinna
@kat12021988 Yes!!! Hurry 😉,False,0,0,False,False,lisarinna
@DanielleOsemene Not everyone will. 🤷‍♀️,False,1,154,False,False,lisarinna
@MzFanta Such an amazing job! 💄💋,False,1,7,False,False,lisarinna
@jrxdcruz I love that I get to share them with them! 💕,False,1,4,False,False,lisarinna
@JennJennFeliz Right! Soooo amazing!,False,1,15,False,False,lisarinna
@Jessica65481190 😉,False,0,2,False,False,lisarinna
@alysssbb You'll have to watch.,False,2,41,False,False,lisarinna
@folkamalore They are adorable! 💕,False,0,3,False,False,lisarinna
@MarTEAnisEddy Yes!! 🍾🍾,False,0,0,False,False,lisarinna
This!!  🙌🏼💕 https://t.co/YkqvF2s2i5,True,5,75,False,False,lisarinna
It's almost time! Who's got your 🍿&amp;🍾 ready for tonight! 💋💄#RHOBH,False,13,381,False,False,lisarinna
@its_chri5tinith @rinnabeauty 💕💕💕,False,0,1,False,False,lisarinna
@thomasdashhh @rinnabeauty 😘,False,0,2,False,False,lisarinna
@gerardgay69 Yaaasss! 🙌🏼,False,2,5,False,False,lisarinna
@RiceAssenza @rinnabeauty Impressive! 😉,False,0,3,False,False,lisarinna
@tinaewong @rinnabeauty Thank you! 💋,False,0,3,False,False,lisarinna
"RT @jeffconway: Before @lisarinna has her @rinnabeauty launch party on #RHOBH tonight, hear directly from Lisa's (famous) lips her motivati…",False,5,0,False,False,lisarinna
@housewifetweet Glad you are watching!,False,0,6,False,False,lisarinna
It's the @rinnabeauty launch party tonight on #rhobh! Who's going to celebrate with me? 💋💄,False,9,561,False,False,lisarinna
"RT @rinnabeauty: Go ahead, dare them to stare. Meet our NEW #RinnaBeauty Sasha Lip Kit. A deep wine shade lip kit that goes on smooth, and…",False,5,0,False,False,lisarinna
RT @rinnabeauty: SASHA. IS. IN. THE. BUILDING. She has a fire that burns from within. Her stunning beauty and dark glare hooks in anyone wh…,False,3,0,False,False,lisarinna
RT @vicksvapor77: HQ poster art for @peacockTV Days of our Lives #BeyondSalem! ⏳⌛️#DAYS #DOOL #DOOLBeyondSalem #Jarlena #Elani #Cin #Cinner…,False,52,0,False,False,lisarinna
"It’s going to be one wild ride. @NBCDays will be going beyond Salem, September 6 on @PeacockTV… are you ready?… https://t.co/7V2sPyB0Oy",False,82,627,False,False,lisarinna
RT @rinnabeauty: Did you really think we would make anything that wasn’t freaking fabulous?! #RinnaBeauty https://t.co/EU2D9qtfd9,False,3,0,False,False,lisarinna
"RT @rinnabeauty: For the bold lip lovers, meet our #RinnaBeauty The Kiki Lip Kit. If you love Kiki as much as we do, stay tuned… We have so…",False,4,0,False,False,lisarinna
@JeffreyMoorer15 @peacockTV 😘,False,0,1,False,False,lisarinna
@jrxdcruz Yaaaayyyy!!!,False,1,3,False,False,lisarinna
@TeddiMellencamp @BravoTV ♥️♥️♥️,False,1,97,False,False,lisarinna
@KMGaither Me!,False,0,2,False,False,lisarinna
Who's getting ready to watch #rhobh with me tonight?? 🍿&amp;🍷,False,16,1585,False,False,lisarinna
"RT @rinnabeauty: Hot girl (or boy) summer isn’t over yet, honey! @lisarinna  is lounging on our #RinnaBeauty Pool Float. Get yours while yo…",False,7,0,False,False,lisarinna
"Bring on the secrets, mysteries, and deceit. Get ready because #DAYS of our Lives will be going beyond Salem, Septe… https://t.co/XBFFrvJxYP",False,49,497,False,False,lisarinna
RT @MichaelFairman: 'Days of our Lives: Beyond Salem' Premiere Date and First Look Photos - @lisarinna @eileen_davidson @nbcdays @peacockTV…,False,24,0,False,False,lisarinna
My first @rinnabeauty float moment. 💋💕You can order your very own at https://t.co/Arijg2YTcx 💕 https://t.co/6MXTZ6p8kq,False,20,555,False,False,lisarinna
Vintage Hamlin. 🥰 https://t.co/JnF2XkWTWf,False,13,1245,False,False,lisarinna
@ryanbloomquist It would be fabulous!,False,1,21,False,False,lisarinna
🙌🏼🙌🏼🙌🏼 https://t.co/TWJnyhSO7y,True,12,230,False,False,lisarinna
Can't wait! 🍸 https://t.co/v04PMBAgrq,True,7,110,False,False,lisarinna
Can't wait! 🍸 https://t.co/v04PMBAgrq,True,7,110,False,False,lisarinna
You all better watch after! 🙌🏼🍸 https://t.co/EpL5beUpsK,True,9,230,False,False,lisarinna
@KrysLannister Any treat works!,False,0,0,False,False,lisarinna
@Realitytvguru13 🙌🏼,False,0,1,False,False,lisarinna
@LisePigen14 Congratulations! 🎉,False,0,4,False,False,lisarinna
@RiceAssenza Why not switch it up?? Lol,False,0,4,False,False,lisarinna
It's Wednesday!! Who's got their 🍸&amp;🍿ready??? #RHOBH,False,31,1135,False,False,lisarinna
Love this!! 💋 https://t.co/JF6KBJtT92,True,8,292,False,False,lisarinna
💋💋💋 https://t.co/PyaOGMOjnP,True,3,86,False,False,lisarinna
@DorellAnthony @eileen_davidson @KChenoweth @rinnabeauty Everyone does! 😉,False,0,2,False,False,lisarinna
@eileen_davidson @KChenoweth @rinnabeauty Thank you @eileen_davidson for your continued support as well. 😘💋💄,False,3,37,False,False,lisarinna
Fabulous! 💋💋💋 https://t.co/52V6zON6oP,True,4,189,False,False,lisarinna
Thank you @KChenoweth for your continued love and support of @rinnabeauty!💋 It means the world to me! 😘,False,12,464,False,False,lisarinna
@Drchoralrach Cheers!!!,False,0,7,False,False,lisarinna
@KMGaither Yes he does!! They are the best! 🥧,False,1,35,False,False,lisarinna
@RebelTweeter280 🤣 He is amazing!,False,1,3,False,False,lisarinna
@SHYLADY80 😘,False,0,4,False,False,lisarinna
@misbeehvn_ 😘,False,0,0,False,False,lisarinna
@KikiKibbitz I love that hat! 🙌🏼,False,0,13,False,False,lisarinna
@leewilliams93 🤣🤣🤣,False,0,4,False,False,lisarinna
Who's getting their 🍿&amp;🍷ready??The show is about to start! #RHOBH,False,23,819,False,False,lisarinna
@PinkRos09531083 🥰,False,0,1,False,False,lisarinna
Thank you @usweekly for including @rinnabeauty in this amazing list!https://t.co/5m1rxfwkIa,False,9,166,False,False,lisarinna
RT @rinnabeauty: You better believe these lips are talking (about our NEW #RinnaBeauty Heidi Lip Kit). A pink nude lip kit that is absolute…,False,2,0,False,False,lisarinna
"Billie Reed is Back 💃🏻All of the romance, action, drama and surprises that only DAYS can deliver, but like you’ve… https://t.co/65gO0iWUiu",False,140,1420,False,False,lisarinna
@gtyger Right!! 🙌🏼,False,1,5,False,False,lisarinna
@1HittrHousewife Thank you! I loved it!,False,1,4,False,False,lisarinna
@SoFireBlaZIng Ohhh girl. Not true.,False,1,53,False,False,lisarinna
@DrCharlesCWall1 Thank you!,False,0,1,False,False,lisarinna
@bombasticl0ve Right! 😉,False,1,4,False,False,lisarinna
@brownieleid I knew him as Drake! 🤣,False,1,20,False,False,lisarinna
@christinajoyyy 🤣🤣🤣 Anytime 🤣🤣🤣,False,2,6,False,False,lisarinna
@icequeenmarks 😘,False,0,1,False,False,lisarinna
@alisage2point0 😘,False,0,0,False,False,lisarinna
@carson61183184 He is the best! 💕,False,0,2,False,False,lisarinna
@colettaPUMPS You know it! ♥️,False,1,41,False,False,lisarinna
@misbeehvn_ 🙌🏼,False,0,1,False,False,lisarinna
@Shonti_ You know this! 💕🙌🏼,False,1,15,False,False,lisarinna
@semedetx ♥️♥️♥️,False,1,9,False,False,lisarinna
@semedetx Sequins give any situation life!,False,1,19,False,False,lisarinna
@jillianbowe 🕺🏽🕺🏽🕺🏽,False,1,0,False,False,lisarinna
@SethAustinc They are the best! 💕🐶🐾,False,0,2,False,False,lisarinna
@MZGunter https://t.co/Vbtzu08o2k! 🙌🏼,False,2,4,False,False,lisarinna
@realrealityhomo Me too!,False,0,3,False,False,lisarinna
@misbeehvn_ Hi!! 👋🏽,False,0,3,False,False,lisarinna
@HimboNumber9 I feel ya! 🤣,False,0,7,False,False,lisarinna
@theunsilente 😘,False,0,4,False,False,lisarinna
@RiceAssenza 🙌🏼,False,0,3,False,False,lisarinna
@SethAustinc @TheOnlyHunty Don’t we all! 🍝,False,0,7,False,False,lisarinna
@485_0840 Yummm 🌮,False,0,3,False,False,lisarinna
🍿🍷📺 Who’s Ready? #RHOBH,False,14,714,False,False,lisarinna
Still to come on this season of #RHOBH on @BravoTV... https://t.co/VvwI4TpsbO,False,77,983,False,False,lisarinna
RT @rinnabeauty: MADE FOR THIRST TRAPPING (obviously). #RinnaBeauty https://t.co/bjtwKRM0yy,False,4,0,False,False,lisarinna
With Cake all over my lips. Couldn’t be happier. 🍀🍰😍 I love my Harry Hamlin. 🧡 https://t.co/KmzvK82Gdr,False,29,3065,False,False,lisarinna
@CaitSheehan 🤣,False,0,4,False,False,lisarinna
RT @TODAYshow: Where does Lisa Rinna keep her vintage gown collection? The answer may surprise you https://t.co/HtPXOZFFLw,False,13,0,False,False,lisarinna
@WhyEthelMertz He’s pretty amazing!!,False,0,6,False,False,lisarinna
@ZenobiaDarling Yaaasss!!! 🙌🏼,False,0,16,False,False,lisarinna
@Jessica65481190 Nope!! 💕,False,0,13,False,False,lisarinna
@MohammedOlokod2 Thank you!!!,False,0,14,False,False,lisarinna
@loriellenw Amazon!,False,0,2,False,False,lisarinna
@RussianKat1 @BravoTV Nike!,False,0,4,False,False,lisarinna
@Witchywoman172 @DebbeRichardson I saved them just for them.,False,0,3,False,False,lisarinna
@loujo333 Ahhh Thank You!!! 💕,False,0,14,False,False,lisarinna
@wescop 🙌🏼,False,1,5,False,False,lisarinna
♥️♥️♥️ https://t.co/1Ewx5SjTKA,True,4,57,False,False,lisarinna
@joshua_beyonce 😘,False,3,18,False,False,lisarinna
@dreamcatch27 I love them all! 💕,False,2,17,False,False,lisarinna
@DebbeRichardson More like appreciating them.,False,2,29,False,False,lisarinna
@paulsonsrare Thank You!! 😘,False,1,4,False,False,lisarinna
@goodtoknownick Right!! 🙌🏼🍸,False,1,5,False,False,lisarinna
@TLaTela Yes!! 🍝,False,0,8,False,False,lisarinna
@sunkisseeddd1 It’s a duster! 😘,False,2,44,False,False,lisarinna
@FlakerJeff @HarryRHamlin LEGENDARY!,False,0,2,False,False,lisarinna
RT @BravoTV: Me when I get a notification that a new episode of #RHOBH is on! 💎 https://t.co/gpo04pUHXn,False,25,0,False,False,lisarinna
Who’s watching with me tonight? #rhobh 🍿🍷,False,17,1506,False,False,lisarinna
Who knows the answer?? 💋 https://t.co/EchBnUS3Qs,True,1,58,False,False,lisarinna
@JHerrGil Thank you. Happy Birthday,False,1,3,False,False,lisarinna
♥️♥️♥️ https://t.co/UyXkM27d7v,True,8,483,False,False,lisarinna
@APabloIsForever 😘😘,False,0,1,False,False,lisarinna
@mariokiki Thank you! 😘,False,2,7,False,False,lisarinna
Thank You! 💋 https://t.co/WtW28viaqZ,True,7,190,False,False,lisarinna
It’s Harry’s world and we are just enjoying the view! 🕺🏽🤣 https://t.co/XYYGmeZnGr,False,47,3025,False,False,lisarinna
"One part fabulous, one part bad-ass💄💋 Shop the Kiki Lip Kit now at https://t.co/Vbtzu08o2k https://t.co/bm4fisAKJj",False,6,197,False,False,lisarinna
@rolanditorulez I love grocery shopping! Lol Wasn’t ready to leave. 🤣,False,0,5,False,False,lisarinna
@KimmyGuidette He’s the best! 💕,False,0,1,False,False,lisarinna
@sistermoonann We make a great team.,False,0,12,False,False,lisarinna
@Hopespring4 @BravoTV Right! 💕,False,0,3,False,False,lisarinna
@SusanMu24558895 He’s all mine. 😘,False,0,2,False,False,lisarinna
@Tober23 Yes!,False,0,7,False,False,lisarinna
@ifeminister ♥️♥️♥️,False,0,3,False,False,lisarinna
@LalaWithTheDrip To keep the bugs away!,False,2,62,False,False,lisarinna
